epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,269.949,1.59719,1.73832,1.82299,0.54347,0.57895,0.42689,0.20906,2.01253,2.14868,2.17972,0.0015941,0.0015941,0.0015941
43,276.996,1.6097,1.72744,1.81065,0.53111,0.47368,0.46993,0.17406,2.24965,2.35891,2.37243,0.0015842,0.0015842,0.0015842
44,281.879,1.65402,1.78246,1.83283,0.51609,0.52632,0.44334,0.21224,1.99632,2.03671,2.0912,0.0015743,0.0015743,0.0015743
45,288.503,1.6627,1.80821,1.83328,0.57024,0.63158,0.46159,0.22063,2.00267,1.9306,2.06784,0.0015644,0.0015644,0.0015644
46,294.898,1.60522,1.69199,1.81312,0.45969,0.52632,0.475,0.24074,2.0666,1.92981,2.1764,0.0015545,0.0015545,0.0015545
47,300.175,1.55832,1.71574,1.76351,0.38946,0.52632,0.39239,0.20078,1.96733,2.07134,2.09015,0.0015446,0.0015446,0.0015446
48,307.237,1.51827,1.59939,1.74076,0.50164,0.52632,0.42777,0.20834,2.07308,1.84168,2.29933,0.0015347,0.0015347,0.0015347
49,313.661,1.5774,1.66847,1.80218,0.49816,0.68421,0.44264,0.22892,2.0249,1.76858,2.20353,0.0015248,0.0015248,0.0015248
50,318.394,1.58278,1.74931,1.81233,0.55509,0.52632,0.50726,0.24673,2.00002,1.79111,2.12988,0.0015149,0.0015149,0.0015149
51,324.833,1.57249,1.69742,1.80417,0.6498,0.42105,0.43356,0.20354,2.12381,2.31842,2.35318,0.001505,0.001505,0.001505
52,331.649,1.52777,1.70438,1.76437,0.63344,0.36842,0.37943,0.15222,2.17104,2.19697,2.33182,0.0014951,0.0014951,0.0014951
53,336.723,1.55265,1.61336,1.74745,0.63286,0.36842,0.42038,0.21665,1.97395,1.77081,2.07694,0.0014852,0.0014852,0.0014852
54,344.34,1.52948,1.61281,1.72537,0.35708,0.42105,0.33453,0.12894,2.06225,2.00031,2.20734,0.0014753,0.0014753,0.0014753
55,350.57,1.56313,1.65584,1.76983,0.51211,0.63158,0.57168,0.2073,2.0457,1.81232,2.22707,0.0014654,0.0014654,0.0014654
56,355.719,1.54392,1.64318,1.78154,0.47071,0.52632,0.49261,0.21878,2.14219,1.96803,2.35022,0.0014555,0.0014555,0.0014555
57,363.649,1.53498,1.5883,1.73005,0.52765,0.36842,0.36837,0.14584,2.44996,2.53564,2.70515,0.0014456,0.0014456,0.0014456
58,369.409,1.50189,1.65778,1.72866,0.33613,0.53316,0.28129,0.12546,2.0029,2.1166,2.12648,0.0014357,0.0014357,0.0014357
59,374.62,1.53138,1.59813,1.73816,0.59112,0.57895,0.43648,0.17868,2.24212,2.05809,2.36421,0.0014258,0.0014258,0.0014258
60,382.783,1.45128,1.5602,1.68504,0.50329,0.42105,0.44578,0.1846,2.16163,1.83393,2.25868,0.0014159,0.0014159,0.0014159
61,388.395,1.47145,1.49048,1.68784,0.70877,0.31579,0.37843,0.15448,2.19968,2.32055,2.47338,0.001406,0.001406,0.001406
62,393.912,1.42007,1.38423,1.66212,0.61563,0.47368,0.42389,0.19278,2.07271,1.97584,2.26333,0.0013961,0.0013961,0.0013961
63,402.52,1.42106,1.44294,1.6457,0.48455,0.42105,0.35032,0.14232,2.2333,2.14519,2.42353,0.0013862,0.0013862,0.0013862
64,407.771,1.5468,1.56546,1.74378,0.42647,0.36842,0.36214,0.13543,2.3209,1.94022,2.38744,0.0013763,0.0013763,0.0013763
65,413.368,1.50359,1.51266,1.68395,0.47385,0.63158,0.50444,0.20995,2.26514,1.78302,2.38992,0.0013664,0.0013664,0.0013664
66,421.678,1.40896,1.41768,1.62343,0.49123,0.36842,0.42293,0.14677,2.28652,2.15709,2.43689,0.0013565,0.0013565,0.0013565
67,426.562,1.41678,1.53339,1.68053,0.62296,0.52203,0.52245,0.21411,2.28917,1.72886,2.29815,0.0013466,0.0013466,0.0013466
68,432.505,1.4941,1.46484,1.7211,0.46348,0.50076,0.47256,0.18149,2.23473,1.80434,2.37771,0.0013367,0.0013367,0.0013367
69,440.242,1.43288,1.4668,1.66336,0.39783,0.47368,0.392,0.16268,2.24141,1.804,2.38125,0.0013268,0.0013268,0.0013268
70,445.666,1.39018,1.39573,1.63676,0.54616,0.36842,0.39397,0.11412,2.34906,2.03807,2.34159,0.0013169,0.0013169,0.0013169
71,451.331,1.43528,1.39139,1.65075,0.32041,0.52632,0.32696,0.11013,2.56593,2.27027,2.89625,0.001307,0.001307,0.001307
72,458.789,1.36665,1.37604,1.61509,0.5491,0.51332,0.46015,0.20101,2.12133,1.88652,2.36318,0.0012971,0.0012971,0.0012971
73,463.682,1.40454,1.40066,1.64805,0.52775,0.36842,0.41325,0.20646,2.13779,1.93033,2.23483,0.0012872,0.0012872,0.0012872
74,469.887,1.46459,1.39882,1.68077,0.4884,0.36842,0.44563,0.20203,2.16707,2.10911,2.3446,0.0012773,0.0012773,0.0012773
75,477.266,1.43162,1.35708,1.64461,0.64216,0.36842,0.44601,0.23151,2.17988,2.09935,2.30582,0.0012674,0.0012674,0.0012674
